iter	Logloss
0	0.6904289528
1	0.6876130193
2	0.6846602773
3	0.6818411921
4	0.6791500698
5	0.6764903563
6	0.6738833319
7	0.6712155557
8	0.6688104045
9	0.666479414
10	0.6639314819
11	0.6615026114
12	0.6592849299
13	0.6567422773
14	0.6545467119
15	0.6521842704
16	0.6500483494
17	0.6476910872
18	0.6457042268
19	0.6435964861
20	0.6416700467
21	0.639414974
22	0.6376557537
23	0.6357860017
24	0.633988686
25	0.6320416743
26	0.6304749699
27	0.628675925
28	0.6267823926
29	0.6249759568
30	0.6231291904
31	0.6214461622
32	0.6198014746
33	0.6181702515
34	0.616228876
35	0.6148740767
36	0.6135291457
37	0.6120127113
38	0.6105340486
39	0.6091066116
40	0.607503865
41	0.6061040317
42	0.6048847879
43	0.6034898509
44	0.6021100511
45	0.6008796929
46	0.5995995555
47	0.5983977538
48	0.5971476646
49	0.5957519752
50	0.5943626169
51	0.5932074712
52	0.5922328511
53	0.5910108988
54	0.5897970419
55	0.5887030229
56	0.5874822223
57	0.5863668001
58	0.5851549061
59	0.5839705621
60	0.5827545029
61	0.5816528759
62	0.5805278713
63	0.5793519685
64	0.5785337999
65	0.5774203409
66	0.576399623
67	0.5757014297
68	0.5746555665
69	0.5736668968
70	0.5728262335
71	0.5719350008
72	0.571154305
73	0.5702688937
74	0.569459889
75	0.5685512268
76	0.5678012235
77	0.5669661022
78	0.5661663172
79	0.5652362411
80	0.5644681241
81	0.5636379302
82	0.5628866683
83	0.5621450816
84	0.5613858094
85	0.560711462
86	0.560039923
87	0.5592452515
88	0.5585063148
89	0.5578147647
90	0.5570100529
91	0.5563328189
92	0.5555625787
93	0.5549622844
94	0.5543034415
95	0.5539140616
96	0.5531320309
97	0.5525085477
98	0.5517969038
99	0.5510460506
100	0.5504923941
101	0.549909534
102	0.5493069151
103	0.5486177327
104	0.5481578222
105	0.5474318708
106	0.5468590078
107	0.5462933522
108	0.5457541426
109	0.5452308379
110	0.5446970207
111	0.5443786173
112	0.5439039813
113	0.5434295766
114	0.5429179273
115	0.542298545
116	0.5417119511
117	0.5412966269
118	0.5407515919
119	0.540291963
120	0.5398068717
121	0.5393232371
122	0.5388568805
123	0.5384261922
124	0.5379872258
125	0.5374804246
126	0.5368904421
127	0.536369051
128	0.5359674669
129	0.5356431037
130	0.5350755042
131	0.5346195546
132	0.5341704617
133	0.5336080074
134	0.5331791643
135	0.5327871937
136	0.5323888027
137	0.5320622933
138	0.5315446341
139	0.5311367494
140	0.5307200989
141	0.5302942008
142	0.5297966172
143	0.5293054851
144	0.5289343629
145	0.5285555206
146	0.5282366572
147	0.5279248145
148	0.527486098
149	0.527084194
150	0.5266646536
151	0.5263313074
152	0.5259938817
153	0.5256525079
154	0.5252493808
155	0.5248707204
156	0.524484475
157	0.5242181911
158	0.5239221509
159	0.5236254221
160	0.5231924914
161	0.5229604086
162	0.5227117965
163	0.5223362129
164	0.5219320713
